call_id,chunk_id,speaker,text
20240815_0004,10,CUSTOMER,nie widziałam tego w umowie
20240815_0004,11,ADVISOR,to może być w regulaminie w drobnym druku proszę to sprawdzić a tymczasem mogę zaproponować obniżenie naszego oprocentowania do 5,2%
20240815_0004,12,CUSTOMER,to już lepiej ale nadal drożej niż 4,5%
20240815_0004,13,ADVISOR,ale u nas ma pani gwarancję że ta stopa się nie zmieni przez 5 lat plus darmowe ubezpieczenie spłaty
20240815_0004,14,CUSTOMER,darmowe ubezpieczenie?
20240815_0004,15,ADVISOR,tak chroni panią w przypadku utraty pracy lub niezdolności do pracy warte 300 złotych rocznie
20240815_0004,16,CUSTOMER,hmm to faktycznie może być wartościowe
20240815_0004,17,ADVISOR,dokładnie a jeszcze możemy przedłużyć okres karencji spłaty do 3 miesięcy
20240815_0004,18,CUSTOMER,co to znaczy?
20240815_0004,19,ADVISOR,że pierwszą ratę płaci pani dopiero po 3 miesiącach ma pani czas na spokojne zaplanowanie budżetu
20240815_0004,20,CUSTOMER,to brzmi interesująco
20240815_0005,1,ADVISOR,halo tu tomasz król z banku pekao czy rozmawiam z panem markiem?
20240815_0005,2,CUSTOMER,tak ale właśnie jem obiad może później?
20240815_0005,3,ADVISOR,yyy przepraszam za zakłócenie kiedy byłby dobry czas na rozmowę?
20240815_0005,4,CUSTOMER,może za godzinę
20240815_0005,5,ADVISOR,dobrze oddzwonię o 15:00
20240815_0005,6,CUSTOMER,ok dzięki
20240815_0006,1,ADVISOR,dzień dobry mówi monika lewandowska z banku ing czy zastałam pana piotra?
20240815_0006,2,CUSTOMER,tak to ja ale mam mało czasu
20240815_0006,3,ADVISOR,nie zajmie długo dzwonię w sprawie zwiększenia limitu na karcie kredytowej
20240815_0006,4,CUSTOMER,nie potrzebuję wyższego limitu wystarcza mi obecny
20240815_0006,5,ADVISOR,rozumiem ale wyższy limit to większa elastyczność finansowa a nie musi pan go używać
20240815_0006,6,CUSTOMER,ale też większe ryzyko zadłużenia
20240815_0006,7,ADVISOR,to prawda ale pan ma bardzo dobrą historię kredytową i stabilne dochody więc ryzyko jest minimalne
20240815_0006,8,CUSTOMER,ile by to było tego limitu?
20240815_0006,9,ADVISOR,moglibyśmy zwiększyć z 5 do 15 tysięcy złotych
20240815_0006,10,CUSTOMER,to duży skok nie chcę
20240815_0006,11,ADVISOR,może wtedy 8 tysięcy? to umiarkowane zwiększenie
20240815_0006,12,CUSTOMER,hmm może 7 tysięcy maksimum
20240815_0006,13,ADVISOR,świetnie 7 tysięcy to dobry kompromis wyślę wniosek do akceptacji
20240815_0007,1,ADVISOR,halo dzień dobry tu justyna nowakowska z banku credit agricole rozmawiam z panią anną?
20240815_0007,2,CUSTOMER,tak słucham ale jestem w sklepie
20240815_0007,3,ADVISOR,nie będę długo dzwonić w sprawie konta oszczędnościowego
20240815_0007,4,CUSTOMER,nie mam pieniędzy na oszczędzanie
20240815_0007,5,ADVISOR,ale można zacząć od małych kwot nawet 50 złotych miesięcznie
20240815_0007,6,CUSTOMER,ale po co jak i tak nie mam nadwyżek
20240815_0007,7,ADVISOR,rozumiem ale czasem to właśnie oszczędzanie pomaga lepiej zarządzać budżetem
20240815_0007,8,CUSTOMER,jak to?
20240815_0007,9,ADVISOR,gdy automatycznie odkłada się pieniądze to człowiek przyzwyczaja się żyć za mniejszą kwotę
20240815_0007,10,CUSTOMER,nie wiem brzmi to dziwnie
20240815_0007,11,ADVISOR,może inaczej gdyby udało się pani zaoszczędzić 600 złotych w rok to za 5 lat miałaby pani 3000 plus odsetki
20240815_0007,12,CUSTOMER,600 złotych w rok to 50 miesięcznie tak?
20240815_0007,13,ADVISOR,dokładnie tak a to tylko jedna kawa mniej dziennie
20240815_0007,14,CUSTOMER,hmm może faktycznie warto spróbować
20240815_0007,15,ADVISOR,świetnie mogę założyć konto już teraz
20240815_0008,1,ADVISOR,halo tu marcin wiśniewski z banku bzwbk czy rozmawiam z panem sebastianem?
20240815_0008,2,CUSTOMER,tak ale właśnie prowadzę auto nie powinienem rozmawiać
20240815_0008,3,ADVISOR,aha rozumiem proszę zadzwonić gdy będzie czas
20240815_0008,4,CUSTOMER,ok do usłyszenia
20240815_0009,1,ADVISOR,dzień dobry mówi karolina dąbrowska z banku alior czy zastałam panią katarzynę?
20240815_0009,2,CUSTOMER,tak słucham
20240815_0009,3,ADVISOR,dzwonię w sprawie ubezpieczenia nieruchomości do pani kredytu hipotecznego
20240815_0009,4,CUSTOMER,ale ja już mam ubezpieczenie w innej firmie
20240815_0009,5,ADVISOR,rozumiem ale nasze ubezpieczenie może być tańsze i lepiej dopasowane do kredytu
20240815_0009,6,CUSTOMER,ile by kosztowało?
20240815_0009,7,ADVISOR,dla mieszkania o wartości jak pani około 1200 złotych rocznie
20240815_0009,8,CUSTOMER,u mnie teraz jest 1500 więc rzeczywiście taniej
20240815_0009,9,ADVISOR,no właśnie a dodatkowo mamy package deal z kredytem więc jeszcze większa oszczędność
20240815_0009,10,CUSTOMER,jaka oszczędność?
20240815_0009,11,ADVISOR,obniżka oprocentowania kredytu o 0,1 punktu procentowego to około 200 złotych miesięcznie mniej raty
20240815_0009,12,CUSTOMER,o wow to dużo
20240815_0009,13,ADVISOR,tak łącznie z tańszym ubezpieczeniem zaoszczędzi pani około 2700 złotych rocznie
20240815_0009,14,CUSTOMER,to brzmi bardzo korzystnie
20240815_0009,15,ADVISOR,mogę przygotować dokumenty do podpisania?
20240815_0009,16,CUSTOMER,tak proszę
20240815_0010,1,ADVISOR,halo tu agnieszka kowalska z eurobanku rozmawiam z panem michałem?
20240815_0010,2,CUSTOMER,tak ale jestem na zebraniu
20240815_0010,3,ADVISOR,przepraszam kiedy mogłabym oddzwonić?
20240815_0010,4,CUSTOMER,jutro po 16
20240815_0010,5,ADVISOR,dobrze oddzwonię jutro dziękuję
20240815_0011,1,ADVISOR,dzień dobry mówi rafał nowicki z banku pocztowego czy zastałem panią agnieszkę?
20240815_0011,2,CUSTOMER,tak słucham
20240815_0011,3,ADVISOR,dzwonię w sprawie karty płatniczej do nowego konta które pani założyła
20240815_0011,4,CUSTOMER,tak już kartę mam
20240815_0011,5,ADVISOR,świetnie ale chciałem zaproponować upgrade do karty premium
20240815_0011,6,CUSTOMER,ile to kosztuje?
20240815_0011,7,ADVISOR,19 złotych miesięcznie ale dostaje pani mnóstwo benefitów
20240815_0011,8,CUSTOMER,jakich na przykład?
20240815_0011,9,ADVISOR,dostęp do salonów vip na lotniskach ubezpieczenie podróżne cashback 2% za zakupy
20240815_0011,10,CUSTOMER,nie podróżuję często więc to bez sensu dla mnie
20240815_0011,11,ADVISOR,ale jest też cashback można zarobić więcej niż kosztuje karta
20240815_0011,12,CUSTOMER,za ile trzeba kupować żeby się opłacało?
20240815_0011,13,ADVISOR,przy wydatkach 1000 złotych miesięcznie dostaje pani 20 złotych zwrotu więc 1 złoty zysku
20240815_0011,14,CUSTOMER,to niewiele
20240815_0011,15,ADVISOR,ale to tylko część korzyści są też zniżki w restauracjach i sklepach
20240815_0011,16,CUSTOMER,jakie zniżki?
20240815_0011,17,ADVISOR,10-20% w ponad 500 miejscach w polsce
20240815_0011,18,CUSTOMER,to brzmi lepiej ale nie jestem przekonana
20240815_0011,19,ADVISOR,może wypróbuje pani przez 3 miesiące darmowo?
20240815_0011,20,CUSTOMER,3 miesiące darmowe?
20240815_0011,21,ADVISOR,tak promocja dla nowych klientów
20240815_0011,22,CUSTOMER,no to można spróbować
20240815_0012,1,ADVISOR,halo dzień dobry tu barbara mazur z banku bph rozmawiam z panem janem?
20240815_0012,2,CUSTOMER,tak ale właśnie kończę pracę jestem zmęczony
20240815_0012,3,ADVISOR,rozumiem będę krótka dzwonię w sprawie pana wniosku o kartę kredytową
20240815_0012,4,CUSTOMER,aa tak ale już nie jestem zainteresowany
20240815_0012,5,ADVISOR,rozumiem czy mogę zapytać dlaczego?
20240815_0012,6,CUSTOMER,bo się dowiedziałem że oprocentowanie jest wysokie
20240815_0012,7,ADVISOR,ale kartą można płacić bez odsetek jeśli spłaca się na czas
20240815_0012,8,CUSTOMER,ale jak nie spłacę na czas?
20240815_0012,9,ADVISOR,wtedy tak są odsetki ale może pan ustawić automatyczne spłaty minimum
20240815_0012,10,CUSTOMER,ale to nadal nie gwarantuje że nie będzie problemów
20240815_0012,11,ADVISOR,może pomogłoby gdyby wiedział pan że ma pan 50 dni na spłatę bez odsetek?
20240815_0012,12,CUSTOMER,50 dni to dużo ale ja już się zdecydowałem
20240815_0012,13,ADVISOR,rozumiem dziękuję za czas
20240815_0013,1,ADVISOR,dzień dobry mówi patrycja kowalczyk z banku handlowego czy rozmawiam z panią ewą?
20240815_0013,2,CUSTOMER,tak słucham
20240815_0013,3,ADVISOR,dzwonię żeby sprawdzić czy jest pani zadowolona z naszych usług
20240815_0013,4,CUSTOMER,tak wszystko w porządku
20240815_0013,5,ADVISOR,cieszę się czy mogłabym zaproponować dodatkowe produkty które mogą pani pomóc?
20240815_0013,6,CUSTOMER,nie dziękuję nic nie potrzebuję
20240815_0013,7,ADVISOR,rozumiem jeśli coś się zmieni proszę pamiętać o nas
20240815_0013,8,CUSTOMER,dobrze dziękuję
20240815_0014,1,ADVISOR,halo tu krzysztof lewandowski z banku bps czy rozmawiam z panem andrzejem?
20240815_0014,2,CUSTOMER,tak to ja
20240815_0014,3,ADVISOR,dzwonię w sprawie refinansowania pana kredytu mieszkaniowego
20240815_0014,4,CUSTOMER,nie jestem zainteresowany jestem zadowolony z obecnego kredytu
20240815_0014,5,ADVISOR,rozumiem ale refinansowanie mogłoby obniżyć pana raty nawet o 500 złotych
20240815_0014,6,CUSTOMER,o tyle? jak to możliwe?
20240815_0014,7,ADVISOR,stopy procentowe spadły więc można dostać lepsze warunki
20240815_0014,8,CUSTOMER,ale to będzie kosztować prowizje i formalności
20240815_0014,9,ADVISOR,tak prowizja to 1% wartości kredytu ale zwróci się w rok oszczędności
20240815_0014,10,CUSTOMER,hmm 1% to sporo
20240815_0014,11,ADVISOR,ale oszczędność 500 złotych miesięcznie to 6000 rocznie minus 1% prowizji to i tak 4000-5000 zysku
20240815_0014,12,CUSTOMER,to rzeczywiście sporo ale czy na pewno dostanę takie warunki?
20240815_0014,13,ADVISOR,mogę sprawdzić wstępnie pana zdolność już teraz jeśli się zgodzi
20240815_0014,14,CUSTOMER,a to nic nie zobowiązuje?
20240815_0014,15,ADVISOR,nie to tylko wstępna ocena
20240815_0014,16,CUSTOMER,no dobrze to sprawdźmy
20240815_0015,1,ADVISOR,dzień dobry mówi sylwia nowak z banku volkswagen czy zastałam pana tomasza?
20240815_0015,2,CUSTOMER,tak słucham ale mam gości
20240815_0015,3,ADVISOR,nie będę długo dzwonię w sprawie finansowania samochodu
20240815_0015,4,CUSTOMER,ale ja nie kupuję samochodu
20240815_0015,5,ADVISOR,ah to może w przyszłości będzie potrzeba?
20240815_0015,6,CUSTOMER,może za kilka lat
20240815_0015,7,ADVISOR,rozumiem to może oddzwonię za rok?
20240815_0015,8,CUSTOMER,nie trzeba jak będę potrzebować to się sam zgłoszę
20240815_0015,9,ADVISOR,dobrze miłego dnia
20240815_0016,1,ADVISOR,halo tu magdalena wiśniewska z banku getin rozmawiam z panią marią?
20240815_0016,2,CUSTOMER,tak ale właśnie wychodzę z domu
20240815_0016,3,ADVISOR,długo to potrwa?
20240815_0016,4,CUSTOMER,tak idę do lekarza może wieczorem
20240815_0016,5,ADVISOR,dobrze oddzwonię wieczorem
20240815_0016,6,CUSTOMER,ok dziękuję
20240815_0017,1,ADVISOR,dzień dobry mówi adam kowalski z banku pko bp czy rozmawiam z panem robertem?
20240815_0017,2,CUSTOMER,tak słucham
20240815_0017,3,ADVISOR,dzwonię w sprawie podwyższenia limitu w koncie dla firm
20240815_0017,4,CUSTOMER,nie prowadzimy działalności gospodarczej
20240815_0017,5,ADVISOR,aa przepraszam pomyłka dziękuję za informację
20240815_0017,6,CUSTOMER,nie ma sprawy
20240815_0018,1,ADVISOR,halo dzień dobry tu beata dąbrowska z banku santander rozmawiam z panią katarzyną?
20240815_0018,2,CUSTOMER,tak to ja
20240815_0018,3,ADVISOR,dzwonię w sprawie naszej oferty specjalnej na konto premium
20240815_0018,4,CUSTOMER,ile to kosztuje?
20240815_0018,5,ADVISOR,30 złotych miesięcznie ale ma pani darmowe przelewy i kartę premium
20240815_0018,6,CUSTOMER,30 złotych to dużo moje obecne konto nic nie kosztuje
20240815_0018,7,ADVISOR,ale płaci pani za przelewy prawda?
20240815_0018,8,CUSTOMER,tak 2 złote za przelew
20240815_0018,9,ADVISOR,ile robił pani przelewów miesięcznie?
20240815_0018,10,CUSTOMER,może z 20
20240815_0018,11,ADVISOR,to 40 złotych więc konto premium wyjdzie taniej
20240815_0018,12,CUSTOMER,to prawda nie pomyślałam o tym
20240815_0018,13,ADVISOR,a jeszcze dostaje pani cashback i ubezpieczenia
20240815_0018,14,CUSTOMER,to brzmi korzystnie
20240815_0018,15,ADVISOR,mogę przygotować dokumenty?
20240815_0018,16,CUSTOMER,tak proszę
20240815_0019,1,ADVISOR,halo tu grzegorz mazur z banku millennium czy rozmawiam z panem pawłem?
20240815_0019,2,CUSTOMER,tak ale jestem w centrum handlowym głośno tu
20240815_0019,3,ADVISOR,może oddzwonię później?
20240815_0019,4,CUSTOMER,tak za godzinę będę w domu
20240815_0019,5,ADVISOR,dobrze oddzwonię
20240815_0020,1,ADVISOR,dzień dobry mówi anna lewandowska z banku ing czy zastałam pana marka?
20240815_0020,2,CUSTOMER,tak słucham
20240815_0020,3,ADVISOR,dzwonię w sprawie kredytu konsolidacyjnego
20240815_0020,4,CUSTOMER,co to jest kredyt konsolidacyjny?
20240815_0020,5,ADVISOR,to kredyt który pozwala połączyć wszystkie pana zobowiązania w jedno
20240815_0020,6,CUSTOMER,po co mi to?
20240815_0020,7,ADVISOR,może obniżyć pana miesięczne raty i uprościć zarządzanie finansami
20240815_0020,8,CUSTOMER,ile mam zobowiązań żeby to miało sens?
20240815_0020,9,ADVISOR,już przy 2-3 kredytach może być korzystne
20240815_0020,10,CUSTOMER,mam kartę kredytową i kredyt samochodowy
20240815_0020,11,ADVISOR,to może być korzystne jakie są raty?
20240815_0020,12,CUSTOMER,karta około 300 auto 800 złotych
20240815_0020,13,ADVISOR,łącznie 1100 konsolidacja mogłaby obniżyć to do 900
20240815_0020,14,CUSTOMER,oszczędność 200 złotych miesięcznie?
20240815_0020,15,ADVISOR,tak a może jeszcze więcej w zależności od okresu spłaty
20240815_0020,16,CUSTOMER,to brzmi interesująco
20240815_0020,17,ADVISOR,mogę przygotować kalkulację?
20240815_0020,18,CUSTOMER,tak proszę
20240815_0021,1,ADVISOR,halo tu paweł kowalski z banku credit agricole rozmawiam z panią ewą?
20240815_0021,2,CUSTOMER,tak ale mam na rękach dziecko może być szybko?
20240815_0021,3,ADVISOR,oczywiście dzwonię w sprawie pani aplikacji na kartę kredytową gold
20240815_0021,4,CUSTOMER,aa tak ale zmieniłam zdanie to zbyt skomplikowane
20240815_0021,5,ADVISOR,rozumiem ale ta karta ma bardzo prostą obsługę przez aplikację
20240815_0021,6,CUSTOMER,ale i tak trzeba pamiętać o spłatach i terminach
20240815_0021,7,ADVISOR,dlatego właśnie można ustawić automatyczne spłaty minimum żeby nie martwić się terminami
20240815_0021,8,CUSTOMER,ale co jak zabraknie pieniędzy na koncie?
20240815_0021,9,ADVISOR,system wyśle wcześniej powiadomienie sms i email a można też ustawić kwotę buforową
20240815_0021,10,CUSTOMER,kwotę buforową?
20240815_0021,11,ADVISOR,tak żeby nie spłacać mniej niż na przykład 200 złotych miesięcznie bez względu na minimum
20240815_0021,12,CUSTOMER,to brzmi bezpieczniej
20240815_0021,13,ADVISOR,dokładnie a jeszcze dostaje pani 500 złotych cashbacku za pierwsze 3 miesiące
20240815_0021,14,CUSTOMER,500 złotych?
20240815_0021,15,ADVISOR,tak przy wydatkach minimum 2000 złotych w pierwszym miesiącu
20240815_0021,16,CUSTOMER,2000 to sporo ale wydaję tyle na zakupy
20240815_0021,17,ADVISOR,no właśnie więc praktycznie 25% zwrotu przez pierwszy miesiąc
20240815_0021,18,CUSTOMER,no to może jednak warto
20240815_0022,1,ADVISOR,dzień dobry mówi magdalena rutkowska z banku pko bp czy rozmawiam z panem tomaszem?
20240815_0022,2,CUSTOMER,tak słucham
20240815_0022,3,ADVISOR,dzwonię w sprawie pana zainteresowania kredytem hipotecznym
20240815_0022,4,CUSTOMER,tak ale właśnie rozmawiałem z żoną i mamy wątpliwości czy to dobry moment
20240815_0022,5,ADVISOR,rozumiem jakie konkretnie wątpliwości panią nurtują?
20240815_0022,6,CUSTOMER,głównie czy stać nas na takie raty plus inflacja wszystko drożeje
20240815_0022,7,ADVISOR,to uzasadnione obawy ale nieruchomość to zabezpieczenie przed inflacją jej wartość rośnie
20240815_0022,8,CUSTOMER,ale raty też mogą rosnąć prawda?
20240815_0022,9,ADVISOR,tak przy zmiennym oprocentowaniu ale oferujemy też stałe oprocentowanie na 5 lat
20240815_0022,10,CUSTOMER,ile by to kosztowało więcej?
20240815_0022,11,ADVISOR,około 0,3 punktu więcej ale gwarancja stabilnych rat przez 5 lat
20240815_0022,12,CUSTOMER,300 złotych więcej miesięcznie to sporo
20240815_0022,13,ADVISOR,ale to jak ubezpieczenie od ryzyka podwyżek a po 5 latach można przejść na zmienne
20240815_0022,14,CUSTOMER,hmm rzeczywiście może to ma sens
20240815_0022,15,ADVISOR,a także pierwsza rata dopiero za 3 miesiące ma pan czas na przeprowadzkę
20240815_0022,16,CUSTOMER,to dobra opcja
20240815_0022,17,ADVISOR,mogę przygotować wstępną kalkulację z różnymi wariantami?
20240815_0022,18,CUSTOMER,tak to pomoże w podjęciu decyzji
20240815_0023,1,ADVISOR,halo dzień dobry tu krzysztof nowak z banku millennium rozmawiam z panią anną?
20240815_0023,2,CUSTOMER,tak ale jestem w pracy nie mogę długo rozmawiać
20240815_0023,3,ADVISOR,rozumiem będę szybki dzwonię w sprawie limitu debetowego
20240815_0023,4,CUSTOMER,nie potrzebuję żadnego limitu debetowego
20240815_0023,5,ADVISOR,rozumiem ale to darmowa opcja która może się przydać w nagłych sytuacjach
20240815_0023,6,CUSTOMER,darmowa znaczy że nic nie kosztuje?
20240815_0023,7,ADVISOR,dokładnie płaci pan tylko jeśli z niego skorzysta a i tak tylko za użytą kwotę
20240815_0023,8,CUSTOMER,ile by to było procent?
20240815_0023,9,ADVISOR,12% w skali roku ale tylko za dni kiedy konto jest na minusie
20240815_0023,10,CUSTOMER,to sporo ale jesli rzadko to może ok
20240815_0023,11,ADVISOR,dokładnie to jak poduszka bezpieczeństwa na wypadek nieprzewidzianych wydatków
20240815_0023,12,CUSTOMER,a ile byłby ten limit?
20240815_0023,13,ADVISOR,mogę zaproponować 2000 złotych to bezpieczna kwota
20240815_0023,14,CUSTOMER,hmm może faktycznie się przyda
20240815_0023,15,ADVISOR,świetnie aktywuję limit na pana koncie
20240815_0024,1,ADVISOR,dzień dobry mówi olga wiśniewska z banku santander czy zastałam pana marcina?
20240815_0024,2,CUSTOMER,tak słucham ale właśnie karmię kota nie mogę długo
20240815_0024,3,ADVISOR,nie zajmie to długo dzwonię w sprawie refinansowania pana kredytu samochodowego
20240815_0024,4,CUSTOMER,po co miałbym go refinansować jest ok
20240815_0024,5,ADVISOR,ale może pan zaoszczędzić nawet 200 złotych miesięcznie na racie
20240815_0024,6,CUSTOMER,jak to możliwe?
20240815_0024,7,ADVISOR,stopy procentowe spadły więc możemy zaproponować lepsze warunki
20240815_0024,8,CUSTOMER,ale będą jakieś koszty tego refinansowania prawda?
20240815_0024,9,ADVISOR,tak prowizja 1% ale przy oszczędności 200 miesięcznie zwróci się w pół roku
20240815_0024,10,CUSTOMER,1% od pozostałej kwoty kredytu?
20240815_0024,11,ADVISOR,tak ale to jednorazowy koszt a oszczędności przez lata
20240815_0024,12,CUSTOMER,ile zostało do spłaty?
20240815_0024,13,ADVISOR,według naszych danych około 80 tysięcy więc prowizja 800 złotych
20240815_0024,14,CUSTOMER,800 złotych to 4 miesiące oszczędności
20240815_0024,15,ADVISOR,tak a potem już czysta oszczędność 200 miesięcznie przez pozostałe 3 lata
20240815_0024,16,CUSTOMER,to łącznie ile oszczędności?
20240815_0024,17,ADVISOR,około 6000 złotych minus 800 prowizji to ponad 5000 zysku
20240815_0024,18,CUSTOMER,to brzmi korzystnie
20240815_0024,19,ADVISOR,mogę przygotować ofertę?
20240815_0024,20,CUSTOMER,tak proszę
20240815_0025,1,ADVISOR,halo tu filip dąbrowski z banku ing czy rozmawiam z panią beatą?
20240815_0025,2,CUSTOMER,tak ale właśnie sprzątam może szybko?
20240815_0025,3,ADVISOR,oczywiście dzwonię w sprawie karty kredytowej world elite
20240815_0025,4,CUSTOMER,nie interesuje mnie mam już kartę
20240815_0025,5,ADVISOR,rozumiem ale ta karta ma wyjątkowe benefity dla osób często podróżujących
20240815_0025,6,CUSTOMER,nie podróżuję służbowo więc bez sensu
20240815_0025,7,ADVISOR,ale są też benefity codzienne jak darmowe parkowanie w galeriach
20240815_0025,8,CUSTOMER,darmowe parkowanie? gdzie?
20240815_0025,9,ADVISOR,w ponad 50 centrach handlowych w polsce wystarczy płacić kartą
20240815_0025,10,CUSTOMER,ile trzeba zapłacić kartą?
20240815_0025,11,ADVISOR,minimum 50 złotych to 2 godziny darmowego parkowania
20240815_0025,12,CUSTOMER,to dobre bo parking kosztuje 4-5 złotych za godzinę
20240815_0025,13,ADVISOR,dokładnie oszczędność 8-10 złotych przy każdej wizycie
20240815_0025,14,CUSTOMER,ile kosztuje ta karta?
20240815_0025,15,ADVISOR,49 złotych miesięcznie ale przy 5 wizytach miesięcznie już się opłaca
20240815_0025,16,CUSTOMER,ja chodzę do galerii może 2-3 razy
20240815_0025,17,ADVISOR,to i tak oszczędność 20-30 złotych a karta kosztuje 49 ale dostaje pani też cashback
20240815_0025,18,CUSTOMER,jaki cashback?
20240815_0025,19,ADVISOR,3% za zakupy w galeriach handlowych więc przy wydatkach 500 złotych to 15 zwrotu
20240815_0025,20,CUSTOMER,plus parkowanie to razem może się opłacać
20240815_0025,21,ADVISOR,dokładnie a jeszcze concierge 24/7 i ubezpieczenia
20240815_0025,22,CUSTOMER,co to concierge?
20240815_0025,23,ADVISOR,pomoc w rezerwacji restauracji biletów na wydarzenia organizacji podróży
20240815_0025,24,CUSTOMER,to brzmi luksusowo
20240815_0025,25,ADVISOR,czy mogę przygotować dokumenty?
20240815_0025,26,CUSTOMER,tak chcę spróbować
20240815_0026,1,ADVISOR,dzień dobry mówi robert kowalczyk z banku bzwbk czy rozmawiam z panem jakubem?
20240815_0026,2,CUSTOMER,tak słucham
20240815_0026,3,ADVISOR,dzwonię w sprawie ubezpieczenia do pana kredytu gotówkowego
20240815_0026,4,CUSTOMER,nie chcę dodatkowych kosztów kredyt i tak dość drogi
20240815_0026,5,ADVISOR,rozumiem ale to ubezpieczenie chroni pana rodzinę gdyby coś się stało
20240815_0026,6,CUSTOMER,ile to kosztuje?
20240815_0026,7,ADVISOR,około 30 złotych miesięcznie przy pana kwocie kredytu
20240815_0026,8,CUSTOMER,30 złotych przez 5 lat to 1800 złotych sporo
20240815_0026,9,ADVISOR,ale gdyby stracił pan pracę albo zachorował kredyt zostałby spłacony
20240815_0026,10,CUSTOMER,ale prawdopodobieństwo że się to stanie jest małe
20240815_0026,11,ADVISOR,to prawda ale koszty leczenia czy bezrobocie mogą być znacznie większe niż 1800 złotych
20240815_0026,12,CUSTOMER,hmm to faktycznie
