Zespół zgłaszający potrzebę,Projekt,Cel biznesowy,KPI,Opis,Korzyść dla Banku/Obszaru/Zespołu,TAI - refined_zadania,TAI - tagi,TAI - uwagi,TAI - tok myslenia,dodatkowe
ZRKiWS,Bezpieczeństwo - Edukacja,"wzrost bezpieczeństwa Klienta, NPS",NPS,"informowanie klientów przez doradców o kwestii bezpieczeństwa w Banku - cyber rescue, przezorność co do haseł/udostępniania karty osobom trzecim itp. ","Chcemy by doradcy działali prewencyjnie i nie ignorowali sygnałów w rozmowach, gdy klient nawiązuje do kwestii bezpieczeństwa, zmierzymy w ilu rozmowach doradcy nie reagują na potrzeby klientów odnośnie bezpieczeństwa",Czy doradca edukuje klienta w temacie bezpieczeństwa i używa właściwych komunikatów?,"bezpieczeństwo, edukacja, frazy-ekstrakcja, baza-wektorowa-bezpieczeństwo, compliance",wieloetapowe:2-3,1) Detekcja tematów bezpieczeństwa; 2) Ekstrakcja komunikatów; 3) Ocena kompletności/jakości.,
ZRKiWS,Bezpieczeństwo - Liczba i rodzaj fraudów,Efektywność operacyjna     ,minimalizacja strat operacyjnych,"Na podstawie słów klienta określa rodzaj fraudu - np.. Klient powie, że wszedł w link, wówczas kategoryzuje to jako phishing","Do budowania nowych modeli antyfraudowych, określania częstotliwości występowania danego fraudu i również budowania świadomości u klientów, określenie jakiego rodzaju fraud wystąpił w rozmowie na podstawie znanych modeli fraudowych - phishing, vishing, fraud inwestycyjny etc.",Jak klasyfikować rozmowy do znanych typów fraudów i liczyć ich wolumen?,"bezpieczeństwo, fraud-klasyfikacja, słownik-fraudów, baza-wektorowa-fraudy, retrieval+reranking, frazy-ekstrakcja, fraud",wieloetapowe:3,1) Taksonomia fraudów; 2) Klasyfikacja + ekstrakcja sygnałów; 3) Agregacja/alertowanie.,
ZRKiWS,Bepieczeństwo - Punkty styczne,Wzrost bezpieczeństwa ,minimalizacja strat operacyjnych,"Jeśli w danej liczbie rozmów pojawią się punkty styczne np. klient powie, że ktoś dodał jego kartę do portfela cyfrowego i nie będą one przypisane do znanych nam metod fraudowych (np. nie będzie to vishing) to system będzie odkładał takie rozmowy i wyłapywał tę powtarzalność","By odpowiednio reagować na nowo pojawiające się metody oszusztów i dopasowywać do tego działania doradców oraz generować odpowiednią komunikację. Stała wiedza na temat aktualnej sytuacji w rozmowach dotyczących fraudu pozwoli na dopasowanie reguł antyfraudowych, procesów i metody działań naszych doradców",Jak wykrywać nowe/nieznane wzorce fraudowe (nienależące do obecnej taksonomii)?,"bezpieczeństwo, novelty-detection, frazy-clustering,frazy-ekstrakcja, candidate-review, baza-wektorowa-indykatory, fraud",wieloetapowe:4,1) Filtr znanych fraudów; 2) Clustering reszty; 3) Detekcja anomalii/nowych tematów; 4) Przegląd i aktualizacja słownika.,"tutaj można by dodać human in the loop - wysyłka do cyber, fraudów, jeśli zaświeci nam się lampa"
ZRKiWS,Wiedza merytoryczna - Przewalutowanie,"Redukcja liczby reklamacji, wzrost NPS","NPS, FCR","informacje na temat przewalutowania, weryfikacja czy w rozmowie padły wszystkie niezbedne informacje","Dzięki temu będziemy na bieżąco weryfikować merytorykę doradców i poprawność udzielania odpowiedzi klientom szczególnie na potrzeby badań Newsweek, Instytucja Roku, Forbes, zwiększenie merytoryki, wyodrębnienie osób, które potrzebują dodatkowych szkoleń itp.",Czy doradca przekazał komplet wymaganych informacji dot. przewalutowania?,"checklista-merytoryczna, frazy-binary, baza-wektorowa-procedury, retrieval, llm-ocena-pokrycia",wieloetapowe:3,1) Zdefiniować checklistę; 2) Detekcja/odniesienie do wzorca; 3) Ocena pokrycia i raport.,dubel 16
ZRKiWS,Wiedza merytoryczna - Przelewy walutowe,"Redukcja liczby reklamacji, wzrost NPS","NPS, FCR",informacje na temat przelewów walutowych oraz zagranicznych,"Dzięki temu będziemy na bieżąco weryfikować merytorykę doradców i poprawność udzielania odpowiedzi klientom szczególnie na potrzeby badań Newsweek, Instytucja Roku, Forbes, zwiększenie merytoryki, wyodrębnienie osób, które potrzebują dodatkowych szkoleń itp.",Czy doradca przekazał komplet informacji dot. przelewów walutowych?,"checklista-merytoryczna, frazy-binary, baza-wektorowa-procedury, retrieval, llm-ocena-pokrycia",wieloetapowe:3,Analogicznie do przewalutowania: checklista → detekcja → ocena pokrycia.,dubel 15
ZRKiWS,JAO/POG/PUS,"Redukcja liczby reklamacji, wzrost NPS","NPS, FCR","weryfikacja udzielanych informacji pełnomocnikom, przedstawicielom ustawowym i współwłaścicielom kont","By minimalizować udzielanie błędnych odpowiedzi przez doradców, by mierzyć merytorykę oraz skuteczność prowadzonych szkoleń",Czy doradca stosuje poprawne reguły obsługi JAO/POG/PUS?,"compliance, role-uprawnienia, frazy-binary, baza-wektorowa-procedury, retrieval",wieloetapowe:3,Checklista ról/uprawnień → detekcja → raport naruszeń/braków.,
ZRKiWS,Selfservice,Wzrost selfservice,,"weryfikacja czy w rozmowie doradcy informują klientów o możliwościach zdalnych - np.otwarcia konta zdalnie - ""Nie musi Pan/i iść do Oddziału, może Pan/i to zrobić zdalnie""","Pozwoli na określenie w jak wielu rozmowach doradcy nie proponują selfservice, Edukacja doradców",Czy doradca promuje możliwości samoobsługi?,"self-service, frazy-binary, asysta-digital",,Detekcja fraz promujących samoobsługę; udział w rozmowach obsługowych.,
ZRKiWS,"Nieuczciwa sprzedaż - wykorzystanie ""Coś ekstra"" przez zespoły utrzymaniowe",Eliminowanie nieetycznej sprzedaży,minimalizacja strat wewnętrznych operacyjnych,Wyłapanie tych sytuacji,"Minimalizowanie nieetycznej sprzedaży , działania doradców zmierzają w tym celu by klient założył kartę kredytową i wówczas przedstawią ofertę retencyjną","Jak wykryć schemat: najpierw sprzedaż KK tylko po to, by od razu użyć oferty retencyjnej (misselling)?","misselling, karta-kredytowa, retencja, pattern-detection, frazy-binary, compliance, timeline",do ustalenia,"Definicja reguł (okna czasowe, sekwencje), detekcja fraz KK→retencja, walidacja na próbkach.",
ZRKiWS,Weryfikacja poprawności zapisów utrzymaniowych,,,"Porównanie jaka propozycja utrzymaniowa padła w rozmowie i na jaką klient się zgodził, porownanie z wprowadzoną przez doradcę promocja (prime) oraz zapisem utrzymania (af)","automatyczna weryfikacja poprawności zapisu, czy dobrze wprowadzona promocja",Jak porównać treść rozmowy z zapisami w systemach (prime/af) i wykryć niezgodności?,"retencja, system-rozmowa-alignment, ekstrakcja-oferty, sts, llm-porównanie, audyt",wieloetapowe:4 (zależne),1) Ekstrakcja parametrów oferty z transkrypcji; 2) Pobranie zapisów z systemu; 3) Porównanie; 4) Raport niezgodności.,
ZRKiWS,Utrzymanie produktów bankowych,,,"Reguła weryfikujaca ile oraz jakie propozycje utrzymaniowe padły w rozmowie. Weryfikacja czy doradca podjal probe utrzymania po pierwszej odmowie klienta  oraz badanie jakie oferty sa dla klienta najbardziej atrakcyjne dla klienta. Po interakcji analizuje transkrypcje/rozmowe i przewiduje czy klient był zadowolony z zapropoowanej oferty, czy skorzystał z niej na przeczekania, a i tak zadzowni po jakimś czasie zrezygnować","Minimalizacja nieetycznych zachowań, badanie jakie propozycje utrzymaniowe padly w rozmowie oraz ile ich padlo","Jak policzyć liczbę i typy propozycji utrzymaniowych, reakcje klienta i intencję rezygnacji?","retencja, frazy-binary, frazy-ekstrakcja, frazy-klient-sentyment, frazy-clustering, llm-podsumowanie",wieloetapowe:4,1) Detekcja/ekstrakcja ofert; 2) Reakcja klienta (sentyment/zgoda); 3) Predykcja intencji; 4) Podsumowanie.,
ZRKiWS,Utrzymanie produktów bankowych,,,"weryfikacja czy doradca próbował utrzymać klienta ""na argumenty"" czy przeszedł od razu do propozycji retencyjnej","mniejsze koszty, wyodrębnimy doradców którzy potrzebują szkoleń z umiejętności miękkich, by sprawdzić możliwości bezkosztowego utrzymania klienta","Czy doradca najpierw próbuje utrzymać na argumenty (bez benefitów), czy od razu daje ofertę?","retencja, obiekcje, frazy-binary, frazy-ekstrakcja, llm-ocena-argumentów",wieloetapowe:3 do ustalenia,Binary: próba na argumenty → ekstrakcja argumentów → ocena jakości/sekwencji.,
ZRKiWS,Utrzymanie produktów bankowych,,,"sugerowanie klientowi kontakt w innym terminie z inicjatywy doradcy - np. sytuacja gdy klient ma saldo ujemne na koncie, zamiast zamknąć z 28 - dniowym okresem wypowiedzenia, to doradca proponuje by klient sam zadzwonił po spłacie długu","Minimalizacja nieetycznych zachowań, by sprawdzić zachowania doradców, które nie są oczekiwanie",Jak wykrywać sugerowanie odroczenia kontaktu zamiast działania tu-i-teraz?,"retencja, frazy-binary",,Binary detekcja fraz sugerujących przełożenie kontaktu; raport wystąpień.,
ZRKiWS,Kampania - automatyczna weryfikacja czy padły niebzedne informacje ,,,Słowa doradcy - weryfikacja czy w rozmowie padły wszystkie niezbędne informacje zgodne z modelem rozmowy danej kampanii,"automatyczna weryfikacja jakości rozmów, bieżąca weryfikacja rozmów kampanii",Czy wszystkie elementy modelu rozmowy kampanii zostały zrealizowane?,"kampania, checklista, frazy-binary, baza-wektorowa-scripts, retrieval, llm-ocena-pokrycia",wieloetapowe:3,Checklista kampanii → detekcja → ocena pokrycia i braki.,
ZRKiWS,Kampania - skuteczność ropoczęcia połaczenia,,,"rozpoczęcie rozmowy - weryfikacja jak doradca zareagował na słowa klienta, kiedy ten mówił że nie ma czasu rozmawiać. Często doradcy od razu mówią, że zadzwonią w innym terminie zamiast spróbować zachęcić do rozmowy w tym momencie","początek rozmowy wpływa na to czy rozmowa się odbędzie czy nie, skuteczność przeprowadzanych rozmów w kampanii","Jak doradca reaguje na obiekcję klienta o braku czasu - czy próbuje zachęcić do rozmowy, czy od razu proponuje przełożenie?","obiekcje, frazy-binary, frazy-ekstrakcja,frazy-clustering, scoring-wejścia",wieloetapowe:3,1) Detekcja obiekcji 'brak czasu'; 2) Detekcja reakcji doradcy; 3) Scoring skuteczności.,
ZRKiWS,Mierzalność szkolenia sprzedażowego Konto dla dziecka oraz ofertowanie produktów skierowanych do rodziców np. ŻiZ,Wzrost sprzedaży,S2S,"weryfikacja poziom proponowania Kont dla dzieci, czy w rozmowie słychać dzieci w tle, odniesienie się doradcy do tego gdy klient sam w rozmowie informuje, że ma dzieci",skuteczność szkolenia,"Czy doradca identyfikuje kontekst rodzinny (dzieci w tle, wypowiedzi klienta) i proponuje odpowiednie produkty?","cross-sell, konto-dziecka, ubezpieczenie, frazy-binary, frazy-klient-ekstrakcja, baza-wektorowa-produktów",wieloetapowe:3-4,1) Ekstrakcja kontekstu (dzieci); 2) Detekcja ofert dopasowanych; 3) Raport skuteczności; 4) (opcjonalnie) powiązanie ze sprzedażą.,"czy to z dziećmi nie podejdzie nam pod jakąś etykę? rodo, czy coś?"
ZDKwKZ,Analiza emocji i potrzeb z danych jakościowych,Poprawa wskaźników jakościowych FCR/NPS/Sat NET,,"Model analizuje dane  z wywiadów pogłębionych, nagrań z CC, czatów – i wykrywa potrzeby, oczekiwania, wartości klientów. ",Poprawa jakości prowadzonych rozmów. Poprawa CX po kontakcie z CC,"Jakie potrzeby, oczekiwania i wartości klientów można zidentyfikować na podstawie danych jakościowych?","topic-modeling, frazy-ekstrakcja, frazy-clustering, llm-podsumowanie, dashboard",wieloetapowe:4,1) Preprocessing; 2) Tematy/klastry; 3) Emocje; 4) Podsumowania i wizualizacja.,baza wektorowa/mapowanie potrzeby emocje? czy tutaj nie wchodzimy już na działania zakazane? dp weryfikacji
ZDKwKZ,Narratywne dashboardy jakościowe ,Poprawa wskaźników jakościowych FCR/NPS/Sat NET,,"Model generuje raporty z danych jakościowych i innych źródeł w formie naturalnego języka: Przykład: „W ubiegłym tygodniu 74% klientów, którzy ocenili rozmowę nisko, wspominali o długim czasie oczekiwania. Najczęściej pojawiające się zdanie to: ‘czekam już 10 minut’.” Model sprawdza dane jakościowe i efektywnościowe (np.: czas oczekiwania na IVR). ",Poprawa jakości prowadzonych rozmów przez doradców w CC,Generowanie dashboradów narracyjnych w oparciu o pozostałe dane z transkrypcji,"llm-podsumowanie, nlg-raporty, retrieval-structured+unstructured, agent",wieloetapowe:3 zależne ,1) Zasilenie danymi; 2) Szablony/NLG + retrieval; 3) Walidacja źródeł i metryk.,"agent, który wrzuca podsumowania raportów w modelu subskrypcyjnym - osoby z banku mogą oznaczać, jakiego rodzaju raporty chcą i otrzymują mailing, albo w raporty w teams"
ZDKwKZ,"Model jako asystent badań ""Tajemniczego klienta""",Wsparcie w przygotowaniach do rankingów jakościowych,,"Model może analizować nagrania z udziałem ""tajemniczego klienta"", porównywać je z oczekiwanym scenariuszem i wskazywać różnice, błędy. Model wcielający się w ""tajemniczego klienta"" - pisanie z doradcami w kanale CZAT.",Osiąganie najwyższych wyników w badaniach jakościowych,"Jak porównać rozmowy ze scenariuszami i generować feedback, a w czacie symulować klienta?","tajemniczy-klient, frazy-ekstrakcja, retrieval, baza-wektorowa-skrypty",wieloetapowe:4,1) Baza scenariuszy; 2) Porównanie rozmów; 3) Raport różnic,to są dwa zadania - agent tajemniczy klient + analityka scenariuszy tajemniczy klient
,Agent tajemniczy klient,,," Model wcielający się w ""tajemniczego klienta"" - pisanie z doradcami w kanale CZAT.",,,"agent, tajemniczy-klient",,,
ZDKwKZ,Obsługa Hot Alertów,Poprawa wskaźników jakościowych FCR/NPS/Sat NET,,"Wykonanie transkrypcji rozmów z niskimi ocenami jakościowymi. Analiza i streszczenie transkrypcji w celu wskazania powodów niskich ocen klientów. Po interakcji analizuje transkrypcje/rozmowe i przewiduje: czy problem został faktycznie rozwiązany (FCR = TAK), czy istnieje wysokie ryzyko, że klient wróci (FCR = NIE), wykrywa niezadowolenie klienta mimo zamknięcia sprawy",Poprawa jakości prowadzonych rozmów przez doradców w CC; Możliwość wczesnego reagowania i ponownego kontaktu przed eskalacją.; Automatyczna poprawa FCR przez działania naprawcze zanim klient wróci,"Dlaczego klient ocenił rozmowę nisko i czy istnieje ryzyko, że problem nie został faktycznie rozwiązany?","sentyment, llm-podsumowanie, frazy-ekstrakcja, frazy-clustering, fcr-prediction","wieloetapowe:4 (możliwe, że zależne)",1) Klasyfikacja/wyciągnięcie przyczyn; 2) Sentyment/ton; 3) Predykcja FCR/ryzyka; 4) Streszczenie i rekomendacja działań.,
ZDKwKZ,Analiza głosu klienta z badań FCR Pogłębiony/Badanie Transakcyjne/Relacyjne,Poprawa wskaźników jakościowych FCR/NPS/Sat NET,,"Wykonanie transkrypcji rozmów następnie analizy i streszczenia pod kątem jakościowym. Zweryfikowanie czy komentarz(głos klienta) łączy się treścią interakcji.  Wskazanie powodów ocen klientów (promotorów, neutralnych, detraktorów). Segmentacja opinii na pozytywne/negatywne/neutrealne. Grupowanie tematów wypowiedzi klientów ",Poprawa jakości prowadzonych rozmów. Poprawa CX po kontakcie z CC,Czy komentarze klientów w badaniach są spójne z treścią ich rozmów i jakie są główne tematy opinii?,"voice-of-customer, sentiment-segmentation, tema-clustering, consistency-check, fcr, sentyment, topic-modeling, llm-podsumowanie",wieloetapowe:4 (zależne),1) Linkowanie komentarz↔interakcja; 2) Sentyment/ocena; 3) Tematy/klastry; 4) Podsumowanie powodów.,
ZDKwKZ,Weryfikacja rozmów pod kątem standardów jakościowych,Poprawa wskaźników jakościowych FCR/NPS/Sat NET,," Analiza/weryfikacja interakcji  pod katem stosowania przez doradców określonych standardów(elementów modelu rozmowy) w rozmowach z klientami. Przykład„Pokaż mi 50 interkacji z zeszłego tygodnia, gdzie klient był zirytowany brakiem rozwiązania po pierwszym kontakcie” - i model wybierze odpowiednie nagrania/sklasyfikuje co mogło mieć na to wpływ np: doradca czy proces.",Poprawa jakości prowadzonych rozmów przez doradców w CC,Czy model rozmowy/standard został zrealizowany; jakie elementy brakują?,"jakość, frazy-binary, retrieval, llm-ocena-pokrycia, filtracja po kryteriach",wieloetapowe:3 (zależne),Checklista → detekcja → ocena pokrycia + wyszukiwarka z filtrami.,
ZDKwKZ,Weryfikacja rozmów wymagających konsultacji pod kątem reklamacji klientów ,Poprawa czasu odpowiedzi na reklamacje klientów. ,,Wykonanie transkrypcji rozmów wymagających konsultacji. Wykonanie transkrypcji i analiza według wskazanych kryteriów. ,Poprawa satysfakcji klientów,Które rozmowy wymagające konsultacji mogą prowadzić do reklamacji klientów?,"reklamacje, frazy-binary, frazy-ekstrakcja,frazy-clustering, baza-wektorowa-skrypt",wieloetapowe:3,Binary detekcja konsultacji → ekstrakcja kontekstu → kategoryzacja/priorytety.,
ZDKwKZ,Tworzenie bazy wiedzy o kompetencjach Doradcy,Poprawa wskaźników jakościowych FCR/NPS/Sat NET i kompetencji Doradców,,Wykonanie analizy rozmów doradcy na podstawie określonych kryteriów. Wskazanie  mocnych i słabych stron. ,Poprawa jakości prowadzonych rozmów przez doradców w CC,Jakie są mocne i słabe strony kompetencyjne poszczególnych doradców na podstawie analizy ich rozmów?,"jakość, frazy-ekstrakcja, frazy-clustering, llm-podsumowanie-profilu, dashboard",wieloetapowe:4,1) Zestaw metryk/cech; 2) Agregacja per doradca; 3) Profil/score; 4) Raport/podsumowanie.,
ZDKwKZ,Obsługa odpowiedzi niestandardowych FCR/NPS,Optymalizacja procesu ankietowania klientów,,Weryfikacja/Analiza nietypowych odpowiedzi klientów na ankiety jakościowe FCR/NPS w połączeniu z sugestią zmiany na właściwą ocenę. ,Uzyskiwanie bardziej precyzyjnych ocen klientów,Czy nietypowe odpowiedzi klientów w ankietach FCR/NPS wymagają korekty na właściwą ocenę liczbową?,"free-text-normalizacja, llm-klasyfikacja→skala, suggestion-engine, audyt-zmian",wieloetapowe:3,1) Klasyfikacja treści do skali; 2) Uzasadnienie/ślad audytowy; 3) Propozycja korekty.,
ZDKwKZ,Wyszukiwarka intuicyjna po treści rozmów,Poprawa wskaźników jakościowych FCR/NPS/Sat NET,,"Wyszukiwanie i analiza rozmów według wskazanych kryteriów. Przykład: „Pokaż rozmowy, w których klient był zły z powodu długiego oczekiwania i zagroził rezygnacją z usług banku” – i model wyciąga najbardziej pasujące przypadki z tysięcy godzin nagrań/transkrypcji.",Poprawa jakości prowadzonych rozmów przez doradców w CC,Jak umożliwić skuteczne wyszukiwanie semantyczne z filtrami po metadanych?," retrieval, reranking, indeks-metadanych, facety, highlighty, wyszukiwarka-semantyczna, intuitive-search, context-matching,",wieloetapowe:3,1) Indeks wektorowy + BM25; 2) Reranking; 3) Filtry i podświetlenia trafień.,
ZDKwKZ,Analiza kontrastowa rozmów ,Poprawa wskaźników jakościowych FCR/NPS/Sat NET,,Analiza porównawcza przypadków których doradca osiągnął założony cel rozmowy z tymi w których tego celu nie spełnił. Przykłady: utrzymanie produktów u klienta; wysokie oceny jakościowe vs niskie oceny jakościowe,Zwiększenie efektywności celów biznesowych np.: sprzedaży produktów,Jak wydobyć różnice między rozmowami skutecznymi i nieskutecznymi?,"contrastive-analysis, pattern-mining, frazy-ekstrakcja, llm-różnice, ranking-cech",wieloetapowe:4,1) Dobór par/zbiorów; 2) Ekstrakcja cech; 3) Analiza różnic; 4) Rekomendacje.,
