Cel_biznesowy,KORZYSCIE_DLA_BANKU_OBSZARU_ZESPOLU,KPI,Korzyść_dla_Banku_Obszaru_Zespołu,NAZWA_PROJEKT,NUMER,OPIS_CO_BADAMY,Opis,PRIORYTET,PROBLEM,Projekt,STATUS,STRUMIEN,TAI_refined_zadania,TAI_tagi,TAI_tagi_list,TAI_tagi_normalized,TAI_tok_myslenia,TAI_uwagi,TYP,WHISPER_NEXIDIA,Zespol_zglaszajacy_potrzebe,dodatkowe,pipeline_key,pipeline_tags,pipeline::frazy-binary,"pipeline::frazy-binary, frazy-clustering, frazy-ekstrakcja","pipeline::frazy-binary, frazy-clustering, frazy-ekstrakcja, frazy-klient-sentyment","pipeline::frazy-binary, frazy-clustering, frazy-klient-sentyment","pipeline::frazy-binary, frazy-ekstrakcja","pipeline::frazy-binary, frazy-klient-ekstrakcja",pipeline::frazy-binaryx2,"pipeline::frazy-binaryx2, frazy-clustering, frazy-ekstrakcja","pipeline::frazy-clustering, frazy-ekstrakcja",pipeline::frazy-ekstrakcja,pipeline::frazy-emocje,pipeline::frazy-klient-ekstrakcja
,,"SR (Sales Revenue), SV (Sales Volumen)",,"Rozmowy, w których padło pytanie o zobowiązania zewnętrzne/padła oferta konsolidacji.",11,,,1,,,,ODZ,Czy w rozmowie doradca dopytuje o zobowiązania zewnętrzne i proponuje konsolidację? Jakie sformułowania są używane?,"konsolidacja, frazy-binary, frazy-ekstrakcja, frazy-clustering","['konsolidacja', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering']","konsolidacja, frazy-binary, frazy-ekstrakcja, frazy-clustering",,"wieloetapowe:3 - czy na pewno o to chodzi? Czy chodzi o podsumowanie procentowe, czy chcecie frazy, jaka jest potrzeba?",BIZNES,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,,NPS,,"Czy doradca zaproponował asystę w digitalu, czy zostawił klienta zainteresowanego samego w procesie.",12,,,2,,,,ODZ,Czy podczas rozmowy doradca zaproponował asystę klientowi przy wykonaniu samoobsługi w bankowości internetowej/aplikacji,"frazy-binary, asysta-digital, self-service","['frazy-binary', 'asysta-digital', 'self-service']","frazy-binary, asysta-digital, self-service",,,KONTROLA,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,,NPS,,Powody odmów,13,,,2,,,,ODZ,"Zidentyfikować najczęstsze powody odmów ze strony klientów; wyodrębnić sformułowania opisujące powody, zgrupować je i podać przykłady.","powody-odmow, frazy-binary, frazy-ekstrakcja, frazy-clustering","['powody-odmow', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering']","powody-odmow, frazy-binary, frazy-ekstrakcja, frazy-clustering",,wieloetapowe:3,KONTROLA,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,,"SR (Sales Revenue), SV (Sales Volumen)",,"Analiza Fraz używanych przez doradców, które najczęściej prowadzą do sprzedaży",14,,,1,,,,ODZ,"Analiza rozmów, w których doszło do sprzedaży. Jakie frazy najczęściej prowadzą do sprzedaży","frazy-ekstrakcja, frazy-clustering, analiza-sprzedażowa","['frazy-ekstrakcja', 'frazy-clustering', 'analiza-sprzedażowa']","frazy-ekstrakcja, frazy-clustering, analiza-sprzedażowa",,"wieloetapowe:2 - zakładając, że mamy oznaczone rozmowy, w których doszło do sprzedaży, jeśli nie to konieczne będzie dołożenie kroku frazy-binary",KONTROLA,,,,"frazy-clustering, frazy-ekstrakcja","frazy-clustering, frazy-ekstrakcja",0,0,0,0,0,0,0,0,1,0,0,0
,,NPS,,"Wykrycie rozmów, w których oferujemy kartę za kartę",15,,,2,,,,ODZ,"Wykrycie rozmów, w których doradca proponuje wymianę istniejącej karty kredytowej na nową (karta za kartę).","karta-kredytowa, frazy-binary, ofertowanie, wymiana","['karta-kredytowa', 'frazy-binary', 'ofertowanie', 'wymiana']","karta-kredytowa, frazy-binary, ofertowanie, wymiana",,"Proszę o doprecyzowanie, co oznacza ""karta za kartę""",KONTROLA,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,Identyfikacja wąskich gardeł w rozmowie – kiedy klient traci zainteresowanie? Po informacji kto dzwoni/ w jakim temacie/ jak klient usłyszy koszty?,16,,,2,,,,ODZ,Identyfikacja wąskich gardeł w rozmowie – kiedy klient traci zainteresowanie? Po informacji kto dzwoni/ w jakim temacie/ jak klient usłyszy koszty?,"ofertowanie, frazy-klient-sentyment, frazy-binary,frazy-clustering","['ofertowanie', 'frazy-klient-sentyment', 'frazy-binary', 'frazy-clustering']","ofertowanie, frazy-klient-sentyment, frazy-binary, frazy-clustering",,wieloetapowe:3,KONTROLA,,,,"frazy-binary, frazy-clustering, frazy-klient-sentyment","frazy-binary, frazy-clustering, frazy-klient-sentyment",0,0,0,1,0,0,0,0,0,0,0,0
,,"SR (Sales Revenue), SV (Sales Volumen)",,Service to sales na inboundzie w Select. czy ofertujemy klientów po rozwiązaniu jego sprawy.,17,,,1,,,,SELECT,"Po rozwiązaniu sprawy klienta na linii Select, czy doradca przedstawia ofertę sprzedażową?","ofertowanie, frazy-binaryx2, service","['ofertowanie', 'frazy-binaryx2', 'service']","ofertowanie, frazy-binaryx2, service",,"wieloetapowe:2 - dwukrotne klasyfikacja binary (czy sprawa rozwiązana, czy przedstawienie oferty ) - prośba o doprecyzowanie - potwierdzenia refined-zadania",BIZNES,,,,frazy-binaryx2,frazy-binaryx2,0,0,0,0,0,0,1,0,0,0,0,0
,wzrost x-sell,"SR (Sales Revenue), SV (Sales Volumen)",,x-sell KK do konwersji KO,18,ofertowanie karty kredytowej/konwersje sukces,,1,brak poropozycji karty kredytowej platinum przy konwersji konta,,,SELECT,Czy podczas konwersji konta osobistego doradca proponuje kartę kredytową?,"ofertowanie, frazy-binaryx2, karta-kredytowa, cross-sell","['ofertowanie', 'frazy-binaryx2', 'karta-kredytowa', 'cross-sell']","ofertowanie, frazy-binaryx2, karta-kredytowa, cross-sell",,"co tutaj jest badane - prośba o doprecyzowanie    wieloetapowe:2 - dwukrotne klasyfikacja binary (konwersja konta, czy ofertowanie karty kredytowej)",BIZNES,,,,frazy-binaryx2,frazy-binaryx2,0,0,0,0,0,0,1,0,0,0,0,0
,wzrost identyfikacji za pomocą AM,NPS,,Autoryzacja mobilna,19,"% propozycji ""czy"" z opcją wyboru po stronie konsultanta wychodzące i przychodzące",,2,"Propozycja wyboru AM lub standard weryfikacji, zamiast prio na AM",,,ODZ,Czy doradca proponuje klientowi autoryzację mobilną zamiast standardowej weryfikacji?,"mobilna-autoryzacja, frazy-binary, service, self-service","['mobilna-autoryzacja', 'frazy-binary', 'service', 'self-service']","mobilna-autoryzacja, frazy-binary, service, self-service",,co tutaj jest badane - prośba o doprecyzowanie,KONTROLA,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,wzrost udziału Remote Sales,NPS,,Możliwość wyboru sposobu finalizacji,20,"% propozycji ""czy"" z opcją wyboru przy finalizacji po stronie konsultanta",,1,"Propozycja wyboru ścieżki finalizacji czy BBC czy E2E, zamiast only BBC a dopiero w przypadku obiekcji E2E lub BR",,,ODZ,Czy doradca przedstawia klientowi możliwość wyboru sposobu finalizacji (BBC/E2E/BR) zamiast narzucać jeden sposób?,"finalizacja, frazy-binary, service","['finalizacja', 'frazy-binary', 'service']","finalizacja, frazy-binary, service",,"prośba o wyjaśnienie skrótów (BBC, E2E, BR) doprecyzowanie - możliwe, że będzie można zrealizować to pod jednym klasyfikatorem na zasadzie lub",PROCES,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,wzrost efektywności total,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",,kampanie automatyczne,21,"wszystkie pomysły z ograniczeniem do rodzaju ""kampani/paliwa""",,1,brak możliwości weryfikacji rozmów po rodzaju kampani,,,ODZ,Czy możliwe jest filtrowanie i analizowanie rozmów według rodzaju kampanii (np. automatycznych)? Jakie wnioski chcemy wyciągnąć?,"kampania, segmentacja, frazy-binary","['kampania', 'segmentacja', 'frazy-binary']","kampania, segmentacja, frazy-binary",,"potrzeba doprecyzowania, jakie kampanie mają być analizowane i jaki jest cel",KONTROLA,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,Wzrost liczby sprzedanych kredytów w rozmowach.,"SR (Sales Revenue), SV (Sales Volumen)",,Kredyt konsumpcyjny,22,Frazes kluczowe związane z ofertą kredytu i finalizacją rozmowy.,,1,Niski odsetek sprzedaży kredytów w trakcie rozmów.,,,ODZ,Zidentyfikować frazy sprzedażowe i finalizujące w rozmowach o kredycie konsumpcyjnym i ocenić ich wpływ na sprzedaż.,"frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, ofertowanie","['frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'kredyt-got', 'ofertowanie']","frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, ofertowanie",,wieloetapowe:3 - proszę o doprecyzowanie wpływu na sprzedaż,BIZNES,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,Zwiększenie średniej wartości kredytów.,"SR (Sales Revenue), SV (Sales Volumen)",,Kredyt konsumpcyjny,23,"Frazes dotyczące warunków kredytu, takich jak kwota i rata.",,1,Niska średnia wartość udzielanych kredytów.,,,ODZ,"Analiza rozmów pod kątem omawiania kwoty i raty kredytu; czy doradca wykorzystuje te elementy, aby zachęcić do wyższej kwoty?","frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, kwota, rata","['frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'kredyt-got', 'kwota', 'rata']","frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, kwota, rata",,"wieloetapowe:3 - proszę o doprecyzowaie, czy prawidłowo określiliśmy zadanie w polu refined_zadanie",BIZNES,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,Wzrost liczby produktów cross-sell sprzedanych w rozmowie.,"SR (Sales Revenue), SV (Sales Volumen)",,Cross-sell (kredyt + ubezpieczenie),24,Frazes związane z oferowaniem produktów dodatkowych i ich korzyściami.,,2,Niski wskaźnik oferowania produktów dodatkowych w rozmowach.,,,ODZ,Czy doradca podczas rozmowy o kredycie proponuje dodatkowe ubezpieczenie oraz jakie korzyści przedstawia?,"cross-sell, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, ubezpieczenia","['cross-sell', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'kredyt-got', 'ubezpieczenia']","cross-sell, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, ubezpieczenia",,"wieloetapowe:3 - proszę o doprecyzowaie, czy prawidłowo określiliśmy zadanie w polu refined_zadanie",BIZNES,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,Zmniejszenie liczby klientów kierowanych do oddziałów.,"SR (Sales Revenue), SV (Sales Volumen)",,Kredyt konsumpcyjny,25,Częstość przenoszenia klientów do oddziałów i powody tego działania.,,2,Zbyt dużo klientów kierowanych do oddziałów zamiast finalizacji telefonicznej.,,,ODZ,"Czy klient został przekierowany do oddziału zamiast sfinalizować kredyt telefonicznie, i jakie były powody?","service, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got","['service', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'kredyt-got']","service, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got",,wieloetapowe:3,BIZNES,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,Poprawa skuteczności rozmów w mniej efektywnych segmentach klientów.,NPS,,Segmentacja klientów,26,Analiza skuteczności rozmów w zależności od segmentu klienta.,,2,Nierównomierna skuteczność rozmów między różnymi segmentami klientów.,,,ODZ,Analiza skuteczności rozmów w zależności od segmentu klienta; jakie elementy rozmowy wpływają na sukces w poszczególnych segmentach?,"frazy-binary, frazy-ekstrakcja,frazy-clustering, llm-opis-segment, nps","['frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'llm-opis-segment', 'nps']","frazy-binary, frazy-ekstrakcja, frazy-clustering, llm-opis-segment, nps",,wieloetapowe:4 - jeśli tylko sprzedazowe analizujemy to 3 (ustalenie),KONTROLA,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,Zwiększenie liczby obiekcji skutecznie rozwiązanych przez doradców.,NPS,,Zarządzanie obiekcjami,27,Identyfikacja obiekcji klientów i odpowiedzi doradców na te obiekcje.,,2,Niska skuteczność doradców w odpowiadaniu na obiekcje klientów.,,,ODZ,Identyfikacja obiekcji klientów i odpowiedzi doradców; ocena skuteczności zarządzania obiekcjami,"obiekcje, frazy-binary, frazy-ekstrakcja, frazy-clustering, nps, llm-opis-ocena","['obiekcje', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'nps', 'llm-opis-ocena']","obiekcje, frazy-binary, frazy-ekstrakcja, frazy-clustering, nps, llm-opis-ocena",,wieloetapowe:4 (ustalenie),KONTROLA,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,Poprawa satysfakcji klienta i wyższa finalizacja rozmów.,NPS,,Komunikacja doradcy (parafrazowanie),28,Częstość używania fraz potwierdzających i parafrazowania przez doradców.,,2,Brak aktywnego słuchania i potwierdzania potrzeb klientów.,,,ODZ,"Czy w rozmowie doradca aktywnie słucha i potwierdza potrzeby klienta - czy parafrazuje to, co powiedział klient","frazy-binary, pair-classfication-client-agent, service,nps","['frazy-binary', 'pair-classfication-client-agent', 'service', 'nps']","frazy-binary, pair-classfication-client-agent, service, nps",,wieloetapowe:2 (lub jeden etap tylko pair classification - do ustalenia),KONTROLA,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,"Lepsze dopasowanie ofert kredytowych do potrzeb klientów, zwiększenie sprzedaży.","SR (Sales Revenue), SV (Sales Volumen)",,Kredyt konsumpcyjny,29,Analiza dopasowania oferty kredytowej na podstawie fraz związanych z potrzebami klientów.,,2,Brak odpowiedniego dostosowania oferty kredytowej do potrzeb klientów.,,,ODZ,Czy doradcy badają potrzeby klienta i dostosowują ofertę kredytu gotówkowego; analiza fraz dotyczących potrzeb i dopasowania oferty.,"nps, frazy-binaryx2, frazy-ekstrakcja, frazy-clustering, kredyt-got","['nps', 'frazy-binaryx2', 'frazy-ekstrakcja', 'frazy-clustering', 'kredyt-got']","nps, frazy-binaryx2, frazy-ekstrakcja, frazy-clustering, kredyt-got",,wieloetapowe:3 (ustalenie),BIZNES,,,,"frazy-binaryx2, frazy-clustering, frazy-ekstrakcja","frazy-binaryx2, frazy-clustering, frazy-ekstrakcja",0,0,0,0,0,0,0,1,0,0,0,0
,Wzrost zainteresowania kartami kredytowymi i ich sprzedaż.,"SR (Sales Revenue), SV (Sales Volumen)",,Karta kredytowa,30,Wykrywanie fraz promujących karty kredytowe w rozmowach i ich korelacja z finalizacją sprzedaży.,,1,Niska liczba klientów zainteresowanych kartami kredytowymi.,,,ODZ,"Wyszukiwanie rozmów, w których doradcy promują karty kredytowe i analizowanie wpływu takich fraz na finalizację sprzedaży.","promocje, frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa","['promocje', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'karta-kredytowa']","promocje, frazy-binary, frazy-ekstrakcja, frazy-clustering, karta-kredytowa",,wieloetapowe:3 - do doprecyzowania o co chodzi o korealcja finalizacji sprzedaży,BIZNES,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,"Zwiększenie liczby rozmów, w których przedstawiana jest oferta kredytowa.","SR (Sales Revenue), SV (Sales Volumen)",,Kredyt konsumpcyjny,31,Frazes związane z przedstawianiem oferty kredytu w trakcie rozmowy.,,2,"Doradcy nie oferują kredytów przy każdej rozmowie, gdy jest to możliwe.",,,ODZ,"Czy doradca miał szansę zaproponować kredyt, ale tego nie zrobił? Gdy przedstawił ofertę, to jakich fraz użył","ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt","['ofertowanie', 'frazy-binary', 'frazy-ekstrakcja', 'frazy-clustering', 'kredyt']","ofertowanie, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt",,"wieloetapowe:3 (lub 4, jeśli dorzucimy llm-podsumowanie - w zależności od potrzeb) czy to ma być przekrojowe - jakie frazy występują, gdy występuje ofertowanie kredytu? Prośba o doprecyzowanie",BIZNES,,,,"frazy-binary, frazy-clustering, frazy-ekstrakcja","frazy-binary, frazy-clustering, frazy-ekstrakcja",0,1,0,0,0,0,0,0,0,0,0,0
,Większa liczba klientów korzystających z kart kredytowych dzięki lepszemu przedstawieniu ich korzyści.,"SR (Sales Revenue), SV (Sales Volumen)",,Karta kredytowa,32,Frazes dotyczące promocji kart kredytowych i unikalnych korzyści.,,2,"Brak odpowiedniego promowania korzyści karty kredytowej, takich jak cashback czy programy lojalnościowe.",,,ODZ,"Czy doradca przedstawia zalety karty kredytowej - cashback, programy lojalnościowe, i inne korzyści","ofertowanie,frazy-binary, karta kredytowa","['ofertowanie', 'frazy-binary', 'karta-kredytowa']","ofertowanie, frazy-binary, karta-kredytowa",,czy chcem zbierać informacje w jaki sposób? Czy tylko czy? - prośba o doprecyzowanie,BIZNES,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
,Większy odsetek klientów aktywujących limity w koncie.,"SR (Sales Revenue), SV (Sales Volumen)",,Limit w koncie,33,"Wykrywanie rozmów, w których oferta limitu w koncie nie została przedstawiona.",,3,Niski odsetek klientów korzystających z limitów w koncie.,,,ODZ,"Wykrywanie rozmów, w których oferta limitu w koncie nie została przedstawiona.","limit, frazy-binary, ofertowanie","['limit', 'frazy-binary', 'ofertowanie']","limit, frazy-binary, ofertowanie",,czy chcem zbierać informacje w jaki sposób? Czy tylko czy? - prośba o doprecyzowanie,BIZNES,,,,frazy-binary,frazy-binary,1,0,0,0,0,0,0,0,0,0,0,0
