Zespół zgłaszający potrzebę,Projekt,Cel biznesowy,KPI,Opis,Korzyść dla Banku/Obszaru/Zespołu,TAI - refined_zadania,TAI - tagi,TAI - uwagi,TAI - tok myslenia,dodatkowe,NUMER ,NAZWA - PROJEKT,KPI_BC,TYP (BIZNES/PROCES/KONTROLA),WHISPER/NEXIDIA,PRIORYTET,PROBLEM ,TAI-uwagi,TAI-tagi,TAI-refined zadania,OPIS- CO BADAMY ,KORZYŚCIE DLA BANKU/OBSZARU/ZESPOŁU,STRUMIEŃ,STATUS,TAI - tagi_standaryzowane,TAI-tagi_standaryzowane,TAI_tagi_final,pipeline_baza_wektorowa_frazy_clustering_frazy_ekstrakcja,pipeline_baza_wektorowa_bezpieczeństwo_frazy_ekstrakcja,pipeline_baza_wektorowa_fraudy_fraud_klasyfikacja_frazy_ekstrakcja_retrieval+reranking,pipeline_baza_wektorowa_indykatory_frazy_clustering_frazy_ekstrakcja,pipeline_baza_wektorowa_oswiadczenia(procedury)_frazy_binary,pipeline_baza_wektorowa_oświadczenia_baza_wektorowa_produkty_frazy_binary,pipeline_baza_wektorowa_procedury_frazy_binary_llm_ocena_pokrycia_retrieval,pipeline_baza_wektorowa_procedury_frazy_binary_retrieval,pipeline_baza_wektorowa_produktów_frazy_binary_frazy_klient_ekstrakcja,pipeline_baza_wektorowa_produktów_frazy_klient_ekstrakcja_retrieval+reranking,pipeline_baza_wektorowa_promocji_frazy_binary_frazy_ekstrakcja_retrieval+reranking,pipeline_baza_wektorowa_scripts_frazy_binary_llm_ocena_pokrycia_retrieval,pipeline_baza_wektorowa_skrypt_frazy_binary_frazy_clustering_frazy_ekstrakcja,pipeline_baza_wektorowa_skrypty_frazy_ekstrakcja_retrieval,pipeline_baza_wektorowa_tematy_frazy_ekstrakcja_kategoryzacja_rozmów_multi_label_klasyfikacja_ret...,pipeline_clustering_multi_channel_klasyfikacja_sentyment_topic_modeling,pipeline_frazy_binary,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_frazy_klient_sentyment,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_frazy_klient_sentyment_llm_podsumowanie,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_llm_ocena_argumentów_scoring_oferty,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_llm_opis_ocena,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_llm_opis_segment,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_llm_podsumowanie,pipeline_frazy_binary_frazy_clustering_frazy_ekstrakcja_scoring_wejścia,pipeline_frazy_binary_frazy_clustering_frazy_klient_sentyment,pipeline_frazy_binary_frazy_ekstrakcja,pipeline_frazy_binary_frazy_ekstrakcja_llm_ocena_argumentacji,pipeline_frazy_binary_frazy_ekstrakcja_llm_ocena_argumentów,pipeline_frazy_binary_frazy_ekstrakcja_pair_classification_agent_client,pipeline_frazy_binary_llm_ocena_pokrycia_retrieval,pipeline_frazy_binary_pair_classification_agent_client,pipeline_frazy_binary_x2,pipeline_frazy_binary_x2_frazy_clustering_frazy_ekstrakcja,pipeline_frazy_clustering_frazy_ekstrakcja,pipeline_frazy_clustering_frazy_ekstrakcja_llm_podsumowanie_sentyment,pipeline_frazy_clustering_frazy_ekstrakcja_llm_podsumowanie_topic_modeling,pipeline_frazy_clustering_frazy_ekstrakcja_llm_podsumowanie_profilu,pipeline_frazy_ekstrakcja_llm_różnice,pipeline_frazy_emocje_sentyment_czasowy,pipeline_kategoryzacja_rozmów_scoring_doradcy,pipeline_llm_klasyfikacja→skala,pipeline_llm_podsumowanie_retrieval_structured+unstructured,pipeline_llm_podsumowanie_sentyment_tema_clustering_topic_modeling,pipeline_llm_porównanie,pipeline_retrieval,pipeline_scoring
ZRKiWS,Bepieczeństwo - Punkty styczne,Wzrost bezpieczeństwa ,minimalizacja strat operacyjnych,"Jeśli w danej liczbie rozmów pojawią się punkty styczne np. klient powie, że ktoś dodał jego kartę do portfela cyfrowego i nie będą one przypisane do znanych nam metod fraudowych (np. nie będzie to vishing) to system będzie odkładał takie rozmowy i wyłapywał tę powtarzalność","By odpowiednio reagować na nowo pojawiające się metody oszusztów i dopasowywać do tego działania doradców oraz generować odpowiednią komunikację. Stała wiedza na temat aktualnej sytuacji w rozmowach dotyczących fraudu pozwoli na dopasowanie reguł antyfraudowych, procesów i metody działań naszych doradców",Jak wykrywać nowe/nieznane wzorce fraudowe (nienależące do obecnej taksonomii)?,"bezpieczeństwo, novelty-detection, frazy-clustering,frazy-ekstrakcja, candidate-review, baza-wektorowa-indykatory, fraud",wieloetapowe:4,1) Filtr znanych fraudów; 2) Clustering reszty; 3) Detekcja anomalii/nowych tematów; 4) Przegląd i aktualizacja słownika.,"tutaj można by dodać human in the loop - wysyłka do cyber, fraudów, jeśli zaświeci nam się lampa",,,,,,,,,,,,,,,"bezpieczeństwo, novelty-detection, frazy-clustering, frazy-ekstrakcja, candidate-review, baza-wektorowa-indykatory, fraud",,"bezpieczeństwo, novelty-detection, frazy-clustering, frazy-ekstrakcja, candidate-review, baza-wektorowa-indykatory, fraud",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZRKiWS,Bezpieczeństwo - Edukacja,"wzrost bezpieczeństwa Klienta, NPS",NPS,"informowanie klientów przez doradców o kwestii bezpieczeństwa w Banku - cyber rescue, przezorność co do haseł/udostępniania karty osobom trzecim itp. ","Chcemy by doradcy działali prewencyjnie i nie ignorowali sygnałów w rozmowach, gdy klient nawiązuje do kwestii bezpieczeństwa, zmierzymy w ilu rozmowach doradcy nie reagują na potrzeby klientów odnośnie bezpieczeństwa",Czy doradca edukuje klienta w temacie bezpieczeństwa i używa właściwych komunikatów?,"bezpieczeństwo, edukacja, frazy-ekstrakcja, baza-wektorowa-bezpieczeństwo, compliance",wieloetapowe:2-3,1) Detekcja tematów bezpieczeństwa; 2) Ekstrakcja komunikatów; 3) Ocena kompletności/jakości.,,,,,,,,,,,,,,,,"bezpieczeństwo, edukacja, frazy-ekstrakcja, baza-wektorowa-bezpieczeństwo, compliance",,"bezpieczeństwo, edukacja, frazy-ekstrakcja, baza-wektorowa-bezpieczeństwo, compliance",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZRKiWS,Bezpieczeństwo - Liczba i rodzaj fraudów,Efektywność operacyjna     ,minimalizacja strat operacyjnych,"Na podstawie słów klienta określa rodzaj fraudu - np.. Klient powie, że wszedł w link, wówczas kategoryzuje to jako phishing","Do budowania nowych modeli antyfraudowych, określania częstotliwości występowania danego fraudu i również budowania świadomości u klientów, określenie jakiego rodzaju fraud wystąpił w rozmowie na podstawie znanych modeli fraudowych - phishing, vishing, fraud inwestycyjny etc.",Jak klasyfikować rozmowy do znanych typów fraudów i liczyć ich wolumen?,"bezpieczeństwo, fraud-klasyfikacja, słownik-fraudów, baza-wektorowa-fraudy, retrieval+reranking, frazy-ekstrakcja, fraud",wieloetapowe:3,1) Taksonomia fraudów; 2) Klasyfikacja + ekstrakcja sygnałów; 3) Agregacja/alertowanie.,,,,,,,,,,,,,,,,"bezpieczeństwo, fraud-klasyfikacja, słownik-fraudów, baza-wektorowa-fraudy, retrieval+reranking, frazy-ekstrakcja, fraud",,"bezpieczeństwo, fraud-klasyfikacja, słownik-fraudów, baza-wektorowa-fraudy, retrieval+reranking, frazy-ekstrakcja, fraud",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,24.0,Cross-sell (kredyt + ubezpieczenie),"SR (Sales Revenue), SV (Sales Volumen)",BIZNES,,2.0,Niski wskaźnik oferowania produktów dodatkowych w rozmowach.,"wieloetapowe:3 - proszę o doprecyzowaie, czy prawidłowo określiliśmy zadanie w polu refined_zadanie","cross-sell, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, ubezpieczenia",Czy doradca podczas rozmowy o kredycie proponuje dodatkowe ubezpieczenie oraz jakie korzyści przedstawia?,Frazes związane z oferowaniem produktów dodatkowych i ich korzyściami.,Wzrost liczby produktów cross-sell sprzedanych w rozmowie.,ODZ,,,"cross-sell, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, ubezpieczenia","cross-sell, frazy-binary, frazy-ekstrakcja, frazy-clustering, kredyt-got, ubezpieczenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,12.0,"Czy doradca zaproponował asystę w digitalu, czy zostawił klienta zainteresowanego samego w procesie.",NPS,KONTROLA,,2.0,,,"frazy-binary, asysta-digital, self-service",Czy podczas rozmowy doradca zaproponował asystę klientowi przy wykonaniu samoobsługi w bankowości internetowej/aplikacji,,,ODZ,,,"frazy-binary, asysta-digital, self-service","frazy-binary, asysta-digital, self-service",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZRKiWS,Dashboard doradcy,Wzrost sprzedaży,"SC, E2E","Weryfikacja ile % rozmów doradcy jest w jakich tematach, ile % miał szans sprzedażowych, ile % finalizacji, szacowanie ile przepadło i jakie plany","Dokładna analiza potencjału rozmów doradców, dashbord pozwoliłby na stały dostęp do śledzenia swoich wyników i wyciąganie wniosków",Jaki jest rozkład tematyczny rozmów doradcy i jaki procent stanowią szanse sprzedażowe oraz finalizacje?,"dashboard, agregacja-metryk, kategoryzacja-rozmów, opportunity-detection, finalizacja-binary, join-z-CRM, scoring-doradcy",wieloetapowe:4 (zależne),"1) Zależności: klasyfikacja tematów, szanse, finalizacja; 2) Agregacja per doradca; 3) Dashboard/raport; 4) Walidacja vs KPI sprzedażowe.",,,,,,,,,,,,,,,,"dashboard, agregacja-metryk, kategoryzacja-rozmów, opportunity-detection, finalizacja-binary, join-z-CRM, scoring-doradcy",,"dashboard, agregacja-metryk, kategoryzacja-rozmów, opportunity-detection, finalizacja-binary, join-z-CRM, scoring-doradcy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,,,,,,,65.0,Docenienie,"Quality Score (ocena jakości rozmowy), Missed Information Rate ( wskaźnik brakujących elementów  w rozmowie )",KONTROLA,,1.0,Czy Doradcy doceniają Klienta w rozmowie,,"frazy-binary, nps","Czy doradcy doceniają klienta w rozmowie, używając zwrotów uznania i podziękowań?",Doradcy nie doceniają Klienta,Zwiększenie NPS,ODZ,,,"frazy-binary, nps","frazy-binary, nps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,64.0,Dodatkowy produkt,"SR (Sales Revenue), SV (Sales Volumen)",BIZNES,,1.0,Czy Doradcy badaja potrzeby przed zaproponowaniem dodatkowego produktu,wieloetapowe:2,"frazy-binaryx2, ofertowanie, cross-sell",Czy doradcy badają potrzeby klienta przed zaproponowaniem dodatkowego produktu i unikają ofert niedopasowanych?,Doradcy proponują produkt z którego Klient nie może skorzystać np: proponują ubezpieczenie motor dla Klienta bez auta lub składaja ofertę zadając tylko jedno pytanie: 'czy chciałby Pan/i..',Zwiększenie wolumenu sprzedaży,ODZ,,,"frazy-binary-x2, ofertowanie, cross-sell","frazy-binary-x2, ofertowanie, cross-sell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZDKwKZ,Emocjonalna mapa kontaktu -heatmapa doświadczeń,Poprawa wskaźników jakościowych FCR/NPS/Sat NET i kompetencji Doradców,,"Analiza rozmowy i ocena poziomu emocji (frustracja, entuzjazm, ulga, zniecierpliwienie)na podstwie której można tworzyć tzw.  heatmape pokazującą kiedy klient był najbardziej rozemocjonowany - i dlaczego? Na jakim etapie i jakiego radzaju emocje pojawiały się w rozmowie. ",Poprawa jakości prowadzonych rozmów przez doradców w CC,Jak zbudować heatmapę emocji po etapach rozmowy i uzasadniać skoki?,"emocje-mapa, heatmap-generation, emotion-tracking, temporal-emotion-analysis",wieloetapowe:4,1) Segmentacja etapów; 2) Klasyfikacja emocji; 3) Detekcja skoków i przyczyn; 4) Heatmapa.,,,,,,,,,,,,,,,,"emocje-mapa, heatmap-generation, emotion-tracking, temporal-emotion-analysis",,"emocje-mapa, heatmap-generation, emotion-tracking, temporal-emotion-analysis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,82.0,Główne powody odsyłania klientów do Oddziału,NPS,PROCES,,1.0,Tracimy potencjalnego klienta,wieloetapowe:3 - duplikat wiersz 29,"frazy-binary, frazy-ekstrakcja, frazy-clustering, jdg, kredyt-got, nps",Zidentyfikować główne powody odsyłania klientów do oddziału (np. w kontekście kredytu dla JDG) poprzez analizę fraz w rozmowach i pogrupować je.,kredyt dla jdg,wzrost sprzedaży w ODZ,ODZ,,,"frazy-binary, frazy-ekstrakcja, frazy-clustering, jdg, kredyt-got, nps","frazy-binary, frazy-ekstrakcja, frazy-clustering, jdg, kredyt-got, nps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
